Case Number,Address House Number,Address Street Direction,Address Street Name,Address Street Suffix,Address Zip,Date Case Generated,Date Case Closed,Case Type,Response Days,Status of Case,lat,long
486498,5468,S,10TH,AVE,90043,12/6/2012,,GENERAL,,O,33.99113,-118.32801
486503,953,E,11TH,ST,90021,12/6/2012,,GENERAL,,O,34.03229,-118.24757
486603,2855,S,SYCAMORE,AVE,90016,12/7/2012,,CNAP,,O,34.02809,-118.35614
486606,8939,N,WOODMAN,AVE,91402,12/7/2012,,VEIP,,O,34.23206,-118.43824
486607,8925,N,SEPULVEDA,BLVD,91343,12/7/2012,,VEIP,,O,34.23264,-118.46789
486608,2853,S,SYCAMORE,AVE,90016,12/7/2012,,CNAP,,O,34.02815,-118.35611
486631,6344,N,SEPULVEDA,BLVD,91411,12/10/2012,,VEIP,,O,34.18605,-118.46591
486636,1009,N,GOODRICH,AVE,90744,12/10/2012,,VEIP,,O,33.78416,-118.23822
486638,12465,W,CLARETTA,ST,91331,12/10/2012,,GENERAL,,O,34.2798,-118.4053
486666,1900,S,CHARITON,ST,90034,12/10/2012,,GENERAL,,O,34.04253,-118.37734
486752,155,E,90TH,ST,90003,12/11/2012,,GENERAL,,O,33.95479,-118.272
486758,13765,W,VAN NUYS,BLVD,91331,12/11/2012,,VEIP,,O,34.25869,-118.43331
486782,944,S,WESTCHESTER,PL,90019,12/11/2012,,GENERAL,,O,34.05409,-118.3153
486784,7919,S,EL MANOR,AVE,90045,12/11/2012,,GENERAL,,O,33.97048,-118.40102
486617,5811,S,BROADWAY,,90037,12/7/2012,,GENERAL,,O,33.9895,-118.27848
486645,20104,W,STRATHERN,ST,91306,12/10/2012,,GENERAL,,O,34.21548,-118.57143
486646,7356,N,DARBY,PL,91335,12/10/2012,,GENERAL,,O,34.20444,-118.53246
728519,7013,N,TEXHOMA,AVE,91406,7/20/2016,,GENERAL,,O,34.19793,-118.51541
486938,748,S,SAN PEDRO,ST,90021,12/12/2012,,GENERAL,,O,34.03949,-118.24775
486940,5266,E,VALLEY,BLVD,90032,12/12/2012,,VEIP,,O,34.07373,-118.16925
487087,1673,E,108TH,ST,90059,12/13/2012,,GENERAL,,O,33.93796,-118.24344
487101,6653,N,AMIGO,AVE,91335,12/13/2012,,GENERAL,,O,34.19179,-118.53871
487198,907,E,108TH,ST,90002,12/13/2012,,GENERAL,,O,33.93844,-118.25839
487227,6521,S,VERMONT,AVE,90044,12/14/2012,,GENERAL,,O,33.97999,-118.29198
487230,1951,S,BARRY,AVE,90025,12/14/2012,,GENERAL,,O,34.03788,-118.44972
487248,2438,N,GRIFFIN,AVE,90031,12/14/2012,,GENERAL,,O,34.07491,-118.21155
487251,14129,W,HAMLIN,ST,91401,12/14/2012,,GENERAL,,O,34.18881,-118.44095
487284,317,N,LECOUVREUR,AVE,90744,12/17/2012,,VEIP,,O,33.7735,-118.25553
487299,5878,S,LOS ANGELES,ST,90003,12/17/2012,,VEIP,,O,33.98743,-118.27041
487300,5878,S,LOS ANGELES,ST,90003,12/17/2012,,VEIP,,O,33.98743,-118.27041
487301,6700,S,VAN NESS,AVE,90047,12/17/2012,,VEIP,,O,33.97804,-118.31758
487332,11589,W,TUXFORD,ST,91352,12/18/2012,,VEIP,,O,34.22532,-118.38425
487333,825,W,MIRAFLORES,AVE,90731,12/18/2012,,GENERAL,,O,33.75267,-118.29512
487341,5551,E,HUNTINGTON,DR,90032,12/18/2012,,VEIP,,O,34.09487,-118.15901
487342,821,W,253RD,ST,90710,12/18/2012,,GENERAL,,O,33.79481,-118.28965
487343,8191,W,BAIRD,ROAD,90046,12/18/2012,,GENERAL,,O,34.10734,-118.36938
487346,3115,S,LA SALLE,AVE,90018,12/18/2012,,GENERAL,,O,34.02601,-118.30549
487347,7703,S,CRENSHAW,BLVD,90043,12/18/2012,,GENERAL,,O,33.96978,-118.33107
487354,939,S,3RD,AVE,90019,12/18/2012,,GENERAL,,O,34.05425,-118.31681
487357,10146,N,MOUNTAIR,AVE,91042,12/18/2012,,GENERAL,,O,34.25363,-118.29306
487246,4830,N,VALJEAN,AVE,91436,12/14/2012,,GENERAL,,O,34.15829,-118.48566
487289,5601,W,BRIARCLIFF,ROAD,90068,12/17/2012,,GENERAL,,O,34.10888,-118.31218
487419,3801,S,WESTERN,AVE,90062,12/19/2012,,GENERAL,,O,34.01724,-118.30911
487410,5806,N,MCDONIE,AVE,91367,12/19/2012,,GENERAL,,O,34.17607,-118.57382
487441,619,S,OLIVE,ST,90014,12/19/2012,,GENERAL,,O,34.04764,-118.25479
487596,14922,W,FRIAR,ST,91411,12/26/2012,,GENERAL,,O,34.18552,-118.45828
487458,944,N,ROBINSON,ST,90026,12/19/2012,,GENERAL,,O,34.08432,-118.27716
487472,238,N,BOWLING GREEN,WAY,90049,12/19/2012,,GENERAL,,O,34.06262,-118.47734
487510,10033,N,PALI,AVE,91042,12/20/2012,,GENERAL,,O,34.2505,-118.27003
487530,1539,W,37TH,ST,90018,12/21/2012,,GENERAL,,O,34.02108,-118.30425
487533,10817,W,SHERMAN,WAY,91352,12/21/2012,,GENERAL,,O,34.20136,-118.36644
487555,4034,W,63RD,ST,90043,12/24/2012,,CNAP,,O,33.98246,-118.34526
487571,1766,S,HAUSER,BLVD,90019,12/26/2012,,GENERAL,,O,34.04228,-118.35902
487573,2536,S,WEST,BLVD,90016,12/26/2012,,GENERAL,,O,34.03309,-118.34113
487590,3601,S,GRAND VIEW,BLVD,90066,12/26/2012,,GENERAL,,O,34.00872,-118.43437
487612,5546,N,STROHM,AVE,91601,12/27/2012,,GENERAL,,O,34.1713,-118.35924
487630,12159,W,BRANFORD,ST,91331,12/27/2012,,VEIP,,O,34.25237,-118.39794
487707,1393,N,MARINETTE,ROAD,90272,12/28/2012,,GENERAL,,O,34.05527,-118.5209
487749,13060,W,SAN VICENTE,BLVD,90049,12/31/2012,,GENERAL,,O,34.04828,-118.49129
487751,3540,N,FIGUEROA,ST,90065,12/31/2012,,VEIP,,O,34.08905,-118.2142
487799,2328,S,5TH,AVE,90018,1/2/2013,,GENERAL,,O,34.03528,-118.3223
488744,7643,N,WISH,AVE,91406,1/9/2013,,GENERAL,,O,34.20971,-118.5067
488832,20109,W,ARCHWOOD,ST,91306,1/10/2013,,GENERAL,,O,34.19214,-118.57147
728542,18145,W,KAREN,DR,91356,7/20/2016,,GENERAL,,O,34.1563,-118.52978
487832,760,E,VERNON,AVE,90291,1/2/2013,,GENERAL,,O,33.99895,-118.46576
487911,4049,S,MICHAEL,AVE,90066,1/3/2013,,GENERAL,,O,33.9929,-118.43964
488004,5707,S,BANDERA,ST,90058,1/3/2013,,GENERAL,,O,33.99095,-118.24019
488256,745,E,MILWOOD,AVE,90291,1/7/2013,,GENERAL,,O,33.99371,-118.46276
488390,934,E,11TH,ST,90021,1/7/2013,,GENERAL,,O,34.0323,-118.24823
488393,14531,W,LYLE,ST,91342,1/8/2013,,GENERAL,,O,34.30623,-118.44989
488481,3573,S,OVERLAND,AVE,90034,1/8/2013,,VEIP,,O,34.02286,-118.41044
488489,1414,W,36TH,ST,90018,1/8/2013,,GENERAL,,O,34.02268,-118.30066
488740,1738,W,41ST,PL,90062,1/9/2013,,GENERAL,,O,34.00803,-118.31032
488779,7623,S,BRIGHTON,AVE,90047,1/10/2013,,GENERAL,,O,33.97027,-118.30152
488783,19705,W,VICTORY,BLVD,91367,1/10/2013,,GENERAL,,O,34.18679,-118.56266
488834,22717,W,LEADWELL,ST,91307,1/10/2013,,GENERAL,,O,34.20336,-118.62256
488838,7742,N,YARMOUTH,AVE,91335,1/10/2013,,GENERAL,,O,34.21129,-118.51953
487785,5843,N,WISH,AVE,91316,1/2/2013,,GENERAL,,O,34.17767,-118.50601
488155,3877,E,AGUILAR,ST,90065,1/4/2013,,GENERAL,,O,34.12557,-118.2347
488504,6419,E,ELDER,ST,90042,1/8/2013,,GENERAL,,O,34.12221,-118.17639
488843,13081,N,FELLOWS,AVE,91342,1/10/2013,,CNAP,,O,34.30737,-118.44684
489047,3677,S,CRENSHAW,BLVD,90016,1/10/2013,,GENERAL,,O,34.02054,-118.3353
489263,915,S,MATEO,ST,90021,1/15/2013,,GENERAL,,O,,
489273,8332,S,OSAGE,AVE,90045,1/15/2013,,VEIP,,O,33.96253,-118.3786
489306,325,N,LECOUVREUR,AVE,90744,1/16/2013,,VEIP,,O,,
489307,11332,W,BURBANK,BLVD,91601,1/16/2013,,GENERAL,,O,34.17199,-118.37748
489323,1688,W,ANAHEIM,ST,90710,1/16/2013,,VEIP,,O,33.78653,-118.30723
489435,3585,N,MULTIVIEW,DR,90068,1/17/2013,,GENERAL,,O,34.1321,-118.36341
489456,1940,S,WESTGATE,AVE,90025,1/17/2013,,GENERAL,,O,34.03569,-118.45325
489483,431,W,63RD,PL,90003,1/18/2013,,GENERAL,,O,33.98182,-118.28161
489490,1101,W,81ST,PL,90044,1/18/2013,,GENERAL,,O,33.96519,-118.2943
489506,553,W,113TH,ST,90044,1/18/2013,,GENERAL,,O,33.93207,-118.28444
489647,1001,S,PALOS VERDES,ST,90731,1/23/2013,,GENERAL,,O,33.73492,-118.2815
489684,2827,E,6TH,ST,90033,1/24/2013,2/17/2015,GENERAL,754,O,34.03473,-118.20728
489685,4025,S,NORMANDIE,AVE,90062,1/24/2013,,GENERAL,,O,34.01,-118.30035
489771,2039,W,68TH,ST,90047,1/25/2013,5/19/2015,GENERAL,844,O,33.97792,-118.31475
489795,900,N,EUBANK,AVE,90744,1/25/2013,,GENERAL,,O,33.78171,-118.25491
489797,2195,W,27TH,ST,90018,1/25/2013,,GENERAL,,O,34.03095,-118.31486
489516,158,S,HARVARD,BLVD,90004,1/22/2013,,GENERAL,,O,34.07205,-118.304
728546,5000,W,WASHINGTON,BLVD,90016,7/20/2016,,GENERAL,,O,34.04043,-118.34867
489166,7250,W,FRANKLIN,AVE,90046,1/14/2013,,GENERAL,,O,34.10329,-118.34724
489312,11608,W,VENTURA,BLVD,91604,1/16/2013,,CITATIONS,,O,34.14022,-118.38514
489798,1819,E,107TH,ST,90002,1/25/2013,,GENERAL,,O,33.93908,-118.24004
489815,2191,W,27TH,ST,90018,1/28/2013,,GENERAL,,O,34.03095,-118.31469
489816,5555,S,BANDERA,ST,90058,1/28/2013,,GENERAL,,O,33.9914,-118.24019
489819,2185,W,27TH,ST,90018,1/28/2013,,GENERAL,,O,34.03095,-118.31441
489820,2186,W,27TH,ST,90018,1/28/2013,,GENERAL,,O,34.0307,-118.31441
489824,1737,E,SLAUSON,AVE,90058,1/28/2013,,GENERAL,,O,33.98966,-118.24192
489830,13607,W,TERRA BELLA,ST,91331,1/28/2013,,GENERAL,,O,34.25036,-118.42955
489855,11975,W,SHERMAN,ROAD,91605,1/28/2013,,GENERAL,,O,34.20133,-118.3945
489931,10715,S,WESTERN,AVE,90047,1/29/2013,,GENERAL,,O,33.93867,-118.30922
489934,3686,S,2ND,AVE,90018,1/29/2013,,GENERAL,,O,34.02047,-118.31879
489963,2834,N,CHADWICK,CIR,90032,1/29/2013,,GENERAL,,O,34.07898,-118.1747
489988,717,N,SWARTHMORE,AVE,90272,1/29/2013,,GENERAL,,O,34.04303,-118.52705
490019,7518,S,HARVARD,BLVD,90047,1/30/2013,,GENERAL,,O,33.97138,-118.30667
490089,3418,N,CHADWICK,DR,90032,1/31/2013,,PACE,,O,34.08542,-118.16982
490250,8001,N,VANTAGE,AVE,91605,2/5/2013,,GENERAL,,O,34.21597,-118.39784
490261,7634,N,MORELLA,AVE,91605,2/5/2013,,GENERAL,,O,34.20959,-118.38989
490267,6904,N,RADFORD,AVE,91605,2/5/2013,,GENERAL,,O,34.19606,-118.39201
490285,443,S,SAN PEDRO,ST,90013,2/5/2013,,GENERAL,,O,34.04477,-118.24374
490246,8554,N,MINUET,PL,91402,2/5/2013,,GENERAL,,O,34.22617,-118.43353
728548,4513,N,GRIFFIN,AVE,90031,7/20/2016,,GENERAL,,O,34.09396,-118.20279
728553,10949,W,TUXFORD,ST,91352,7/20/2016,,GENERAL,,O,34.23615,-118.36935
489972,6853,N,LANKERSHIM,BLVD,91605,1/29/2013,,CITATIONS,,O,,
490290,7819,N,BELLINGHAM,AVE,91605,2/5/2013,,GENERAL,,O,34.21269,-118.39888
490292,13120,W,TONOPAH,ST,91331,2/5/2013,,GENERAL,,O,34.22828,-118.41796
490305,2308,W,20TH,ST,90018,2/5/2013,,GENERAL,,O,34.0388,-118.31512
490485,7831,N,DE SOTO,AVE,91304,2/7/2013,,GENERAL,,O,34.21286,-118.58869
490860,3336,E,PEPPER,AVE,90065,2/12/2013,,GENERAL,,O,34.09108,-118.22203
728554,580,N,LUCERNE,BLVD,90004,7/20/2016,,GENERAL,,O,34.0812,-118.3247
728555,2109,S,TOBERMAN,ST,90007,7/20/2016,,GENERAL,,O,34.03543,-118.28099
728557,4637,N,LAUREL CANYON,BLVD,91607,7/20/2016,,CNAP,,O,34.15506,-118.3967
490374,10074,N,WOODALE,AVE,91331,2/6/2013,,GENERAL,,O,34.25415,-118.4422
490487,922,N,HENRY FORD,AVE,90744,2/7/2013,,VEIP,,O,33.78311,-118.24175
490515,9688,N,ARLETA,AVE,91331,2/7/2013,,GENERAL,,O,34.24603,-118.43
490521,7658,N,GENTRY,AVE,91605,2/7/2013,,GENERAL,,O,34.21007,-118.39308
490543,247,E,LA FOLLETTE,DR,90042,2/8/2013,,GENERAL,,O,34.11495,-118.18741
490673,10637,N,EL DORADO,AVE,91331,2/8/2013,,GENERAL,,O,34.26326,-118.42219
490685,1864,E,1ST,ST,90033,2/8/2013,,GENERAL,,O,34.0465,-118.21779
490700,4311,N,GARDEN HOMES,AVE,90032,2/11/2013,,GENERAL,,O,34.09606,-118.16858
490703,12762,W,LANDALE,ST,91604,2/11/2013,,GENERAL,,O,34.1517,-118.41136
490717,1012,S,SANTEE,ST,90015,2/11/2013,,GENERAL,,O,34.03856,-118.25516
490736,318,E,1ST,ST,90012,2/11/2013,,GENERAL,,O,34.05,-118.24058
490747,4855,W,JEFFERSON,BLVD,90016,2/11/2013,,GENERAL,,O,34.02568,-118.35049
490778,3555,S,POTOMAC,AVE,90016,2/12/2013,,CNAP,,O,34.02215,-118.34433
490321,312,E,120TH,ST,90061,2/6/2013,,GENERAL,,O,33.92354,-118.26905
490547,17218,W,ESCALON,DR,91436,2/8/2013,,GENERAL,,O,34.13227,-118.50401
490873,5814,N,BECKFORD,AVE,91356,2/12/2013,,GENERAL,,O,34.17638,-118.55134
490894,14550,W,GALLAUDET,PL,90272,2/12/2013,,GENERAL,,O,34.04646,-118.51545
490914,280,W,8TH,ST,90731,2/13/2013,,VEIP,,O,33.73704,-118.28315
490915,1437,N,WILMINGTON,BLVD,90744,2/13/2013,,VEIP,,O,33.79175,-118.27521
490920,10710,S,MAIN,ST,90003,2/13/2013,,GENERAL,,O,33.93895,-118.27371
491015,1410,S,MAIN,ST,90291,2/13/2013,,GENERAL,,O,33.98922,-118.47171
491024,10749,S,MONA,BLVD,90059,2/13/2013,,GENERAL,,O,33.93743,-118.22928
491103,1823,E,SLAUSON,AVE,90058,2/14/2013,,GENERAL,,O,33.98965,-118.24022
491111,7221,S,HALLDALE,AVE,90047,2/14/2013,,GENERAL,,O,33.97385,-118.30256
491134,1907,S,LA CIENEGA,BLVD,90034,2/14/2013,,GENERAL,,O,34.0423,-118.37669
491145,19252,W,HARLISS,ST,91324,2/15/2013,,GENERAL,,O,34.24715,-118.55311
491152,8014,S,AVALON,BLVD,90001,2/15/2013,,GENERAL,,O,33.966,-118.26496
728560,7101,N,ETON,AVE,91303,7/20/2016,,VEIP,,O,34.19944,-118.59559
728594,1270,W,80TH,ST,90044,7/20/2016,,PACE,,O,33.96639,-118.29835
490913,931,N,POPPY,ST,90042,2/13/2013,,GENERAL,,O,34.1321,-118.1869
491139,5074,N,GLEN IRIS,AVE,90041,2/14/2013,,GENERAL,,O,34.13845,-118.20942
491156,1015,W,20TH,ST,90007,2/15/2013,,GENERAL,,O,34.03678,-118.28061
491170,161,W,58TH,ST,90037,2/15/2013,,GENERAL,,O,33.98985,-118.27601
491194,16209,W,COMMUNITY,CT,91343,2/19/2013,,GENERAL,,O,34.22372,-118.48588
491307,1659,S,ROOSEVELT,AVE,90006,2/20/2013,,GENERAL,,O,34.04331,-118.30196
491286,6862,N,HAYVENHURST,AVE,91406,2/20/2013,,VEIP,,O,34.19561,-118.49221
491317,1733,S,CRESCENT,AVE,90731,2/20/2013,,GENERAL,,O,33.72839,-118.28221
491510,3705,S,VETERAN,AVE,90034,2/21/2013,,GENERAL,,O,34.01742,-118.41407
491513,1230,E,50TH,ST,90011,2/21/2013,,GENERAL,,O,33.99789,-118.25343
491516,1527,E,32ND,ST,90011,2/21/2013,,CITATIONS,,O,34.01264,-118.24751
491545,10932,N,TUJUNGA CANYON,BLVD,91042,2/22/2013,,GENERAL,,O,34.26755,-118.29679
491547,1925,E,I,ST,90744,2/22/2013,,VEIP,,O,33.7827,-118.23812
491654,248,N,BROAD,AVE,90744,2/22/2013,,GENERAL,,O,33.7726,-118.2604
491496,1625,N,BRIDGEPORT,DR,90065,2/21/2013,,GENERAL,,O,34.10204,-118.22598
728607,1036,W,48TH,ST,90037,7/20/2016,,GENERAL,,O,33.99947,-118.29295
728609,1334,S,BURLINGTON,AVE,90015,7/20/2016,,GENERAL,,O,34.04453,-118.27943
728622,12336,W,ROCHEDALE,LANE,90049,7/20/2016,,GENERAL,,O,34.07281,-118.48397
491155,3032,W,ROWENA,AVE,90039,2/15/2013,,GENERAL,,O,34.10882,-118.27064
491172,2814,N,PHELPS,AVE,90032,2/15/2013,,GENERAL,,O,34.07877,-118.17707
491278,6544,W,DE LONGPRE,AVE,90028,2/20/2013,,GENERAL,,O,34.09605,-118.33201
491672,501,E,C,ST,90744,2/22/2013,,GENERAL,,O,33.77332,-118.25652
728635,359,E,33RD,ST,90011,7/20/2016,,GENERAL,,O,34.01733,-118.26697
491733,4258,W,DON LUIS,DR,90008,2/25/2013,,GENERAL,,O,34.00548,-118.34606
728636,2158,W,82ND,ST,90047,7/20/2016,,PACE,,O,33.96447,-118.31748
491736,1933,S,ALAMEDA,ST,90058,2/25/2013,,GENERAL,,O,34.01901,-118.23979
728637,2144,W,82ND,ST,90047,7/20/2016,,PACE,,O,33.96447,-118.31707
728638,2128,W,82ND,ST,90047,7/20/2016,,PACE,,O,33.96447,-118.31651
491753,1411,S,LINCOLN,BLVD,90291,2/25/2013,,GENERAL,,O,33.99757,-118.46044
491754,5937,W,78TH,ST,90045,2/25/2013,,GENERAL,,O,33.96913,-118.38797
728639,2114,W,82ND,ST,90047,7/20/2016,,PACE,,O,33.96446,-118.3161
728640,2102,W,82ND,ST,90047,7/20/2016,,PACE,,O,33.96447,-118.31578
728641,2000,W,82ND,ST,90047,7/20/2016,,PACE,,O,33.96447,-118.31356
728642,1936,W,82ND,ST,90047,7/20/2016,,PACE,,O,33.96447,-118.31251
728643,1818,W,82ND,ST,90047,7/20/2016,,PACE,,O,33.96446,-118.3098
728644,1814,W,82ND,ST,90047,7/20/2016,,PACE,,O,33.96446,-118.30963
728691,510,E,59TH,PL,90003,7/20/2016,,GENERAL,,O,33.98598,-118.26596
728696,7014,W,SANTA MONICA,BLVD,90038,7/21/2016,,GENERAL,,O,34.09056,-118.34217
728713,22107,W,PROVIDENCIA,ST,91364,7/21/2016,,GENERAL,,O,34.15783,-118.60815
728712,4944,N,LEDGE,AVE,91601,7/21/2016,,GENERAL,,O,34.16077,-118.35702
491840,1020,S,HOBART,BLVD,90006,2/26/2013,,GENERAL,,O,34.05204,-118.3051
491960,147,E,108TH,ST,90003,2/27/2013,10/23/2015,GENERAL,968,O,33.93838,-118.27227
492603,1019,E,48TH,ST,90011,3/1/2013,,GENERAL,,O,34.00037,-118.25772
492612,8100,W,WILLOW GLEN,ROAD,90046,3/4/2013,,GENERAL,,O,34.11748,-118.3724
492884,11503,W,KILLION,ST,91601,3/5/2013,,GENERAL,,O,34.1714,-118.38247
493409,,,,,,3/6/2013,,GENERAL,,O,,
493410,1562,E,106TH,ST,90002,3/6/2013,,GENERAL,,O,33.93958,-118.24687
493411,,,,,,3/6/2013,,GENERAL,,O,,
493498,1225,S,GRAND,AVE,90015,3/7/2013,,GENERAL,,O,34.03967,-118.26397
492212,7248,N,JAMIESON,AVE,91335,2/28/2013,,GENERAL,,O,34.2027,-118.52173
492605,214,E,79TH,ST,90003,3/1/2013,,GENERAL,,O,33.96776,-118.27129
493260,6647,N,PEACH,AVE,91406,3/6/2013,,GENERAL,,O,34.19177,-118.46781
493261,6642,N,VESPER,AVE,91405,3/6/2013,,GENERAL,,O,34.19188,-118.45072
728715,22746,W,CAVALIER,ST,91364,7/21/2016,,GENERAL,,O,34.15869,-118.62342
728716,2311,E,ANAHEIM,ST,90744,7/21/2016,,VEIP,,O,33.78191,-118.23299
728717,1253,S,GENESEE,AVE,90019,7/21/2016,,GENERAL,,O,34.05307,-118.3626
492012,16724,W,LA MAIDA,ST,91436,2/27/2013,,GENERAL,,O,34.16068,-118.4975
493542,2042,W,75TH,ST,90047,3/7/2013,,GENERAL,,O,33.97176,-118.31492
493625,3018,W,PICO,BLVD,90006,3/8/2013,,GENERAL,,O,34.04703,-118.30668
494766,3084,W,SAN MARINO,ST,90006,3/15/2013,,GENERAL,,O,34.05439,-118.29721
493600,5405,W,PICO,BLVD,90019,3/7/2013,,CITATIONS,,O,34.04864,-118.35596
493626,135,S,AVENUE 54,,90042,3/8/2013,,GENERAL,,O,34.10647,-118.19644
493628,22528,W,LULL,ST,91304,3/8/2013,,GENERAL,,O,34.20899,-118.61786
493833,683,N,BIENVENEDA,AVE,90272,3/8/2013,,GENERAL,,O,34.04843,-118.53993
493875,3474,E,SISKIYOU,ST,90023,3/11/2013,,GENERAL,,O,34.02566,-118.19947
493876,439,W,ELBERON,AVE,90731,3/11/2013,,GENERAL,,O,33.75018,-118.2883
493991,5700,N,MONTEREY,ROAD,90042,3/11/2013,,GENERAL,,O,34.10313,-118.18562
494095,5151,N,VELOZ,AVE,91356,3/12/2013,,GENERAL,,O,34.16459,-118.54037
494226,3255,E,FUTURE,ST,90065,3/12/2013,,GENERAL,,O,34.10376,-118.22928
494228,1777,E,23RD,ST,90058,3/12/2013,,VEIP,,O,34.01584,-118.24049
494234,6221,N,FALLBROOK,AVE,91367,3/13/2013,,CNAP,,O,34.18317,-118.62358
494406,4865,N,BAKMAN,AVE,91601,3/13/2013,,CNAP,,O,34.15953,-118.37752
494529,1314,S,INNES,PL,90291,3/14/2013,,GENERAL,,O,33.98942,-118.47261
494541,18367,W,HATTERAS,ST,91356,3/14/2013,,GENERAL,,O,34.17758,-118.53316
494623,1430,S,ARAPAHOE,ST,90006,3/14/2013,,GENERAL,,O,34.04534,-118.28524
728748,1131,W,85TH,ST,90044,7/21/2016,,PACE,,O,33.96105,-118.29509
493889,623,N,CHESTNUT,AVE,90042,3/11/2013,,GENERAL,,O,34.11686,-118.17259
494421,5279,N,COLLEGE VIEW,AVE,90041,3/13/2013,,GENERAL,,O,34.14335,-118.21986
494862,715,E,106TH,ST,90002,3/19/2013,,GENERAL,,O,33.94022,-118.26246
494869,938,S,CAMULOS,ST,90023,3/19/2013,,CNAP,,O,34.03077,-118.21058
494879,10539,N,WOODWARD,AVE,91040,3/19/2013,,GENERAL,,O,34.2608,-118.30716
494999,6524,N,JUMILLA,AVE,91367,3/20/2013,,GENERAL,,O,34.18905,-118.56308
495042,1230,S,LORENA,ST,90023,3/20/2013,,GENERAL,,O,34.02069,-118.20519
495139,2325,S,MAIN,ST,90007,3/21/2013,,GENERAL,,O,34.02691,-118.26758
495146,235,S,MAIN,ST,90291,3/21/2013,,GENERAL,,O,33.99683,-118.47874
494915,8320,N,HATILLO,AVE,91306,3/20/2013,,GENERAL,,O,34.22097,-118.56544
495006,19627,W,VANOWEN,ST,91335,3/20/2013,,GENERAL,,O,34.19396,-118.56092
495027,15557,W,FRIAR,ST,91411,3/20/2013,,GENERAL,,O,34.18597,-118.47335
728799,5024,N,RUBIO,AVE,91436,7/21/2016,,GENERAL,,O,34.16192,-118.4944
728800,17040,W,SATICOY,ST,91406,7/21/2016,,GENERAL,,O,34.20827,-118.50466
728801,7333,N,LOUISE,AVE,91406,7/21/2016,,GENERAL,,O,34.20383,-118.51002
495187,7821,N,BURNET,AVE,91405,3/21/2013,,VEIP,,O,34.21295,-118.46306
494827,5017,N,ARGUS,DR,90041,3/18/2013,,GENERAL,,O,34.13756,-118.20589
495363,1127,W,45TH,ST,90037,3/22/2013,,GENERAL,,O,34.00278,-118.29475
495401,1227,N,BIENVENEDA,AVE,90272,3/26/2013,,GENERAL,,O,34.05726,-118.54187
495402,747,N,JACON,WAY,90272,3/26/2013,,GENERAL,,O,34.05035,-118.54673
495430,1775,E,43RD,ST,90058,3/27/2013,,GENERAL,,O,34.00507,-118.24126
495461,1874,E,43RD,ST,90058,3/27/2013,,GENERAL,,O,34.00485,-118.23956
495366,246,E,79TH,ST,90003,3/22/2013,,GENERAL,,O,33.96777,-118.27023
495583,242,E,79TH,ST,90003,3/28/2013,,GENERAL,,O,33.96777,-118.27036
495462,1863,E,43RD,ST,90058,3/27/2013,,GENERAL,,O,34.00508,-118.2399
495546,731,E,105TH,ST,90002,3/28/2013,,GENERAL,,O,33.9411,-118.26193
495564,13952,W,SATICOY,ST,91402,3/28/2013,,VEIP,,O,34.2104,-118.43728
495596,1121,W,83RD,ST,90044,3/29/2013,,GENERAL,,O,33.9638,-118.29485
728853,8801,N,SYLMAR,AVE,91402,7/21/2016,,PACE,,O,34.23013,-118.44573
495572,1854,N,AVENUE 53,,90042,3/28/2013,,GENERAL,,O,34.12609,-118.1987
495745,12917,W,SUNBURST,ST,91331,4/2/2013,,GENERAL,,O,34.25212,-118.41444
495827,22136,W,LEADWELL,ST,91303,4/3/2013,,GENERAL,,O,34.2036,-118.60946
495988,8010,S,AVALON,BLVD,90001,4/5/2013,,GENERAL,,O,33.96604,-118.26496
495761,1050,S,OAKWOOD,AVE,90291,4/2/2013,,GENERAL,,O,33.99538,-118.46369
495767,8329,S,WINSFORD,AVE,90045,4/2/2013,,GENERAL,,O,33.96269,-118.38112
495829,11100,S,STANFORD,AVE,90059,4/3/2013,,GENERAL,,O,33.93469,-118.26285
495873,705,S,HAMPTON,DR,90291,4/4/2013,,GENERAL,,O,33.99406,-118.47473
495876,8816,N,BRADLEY,AVE,91352,4/4/2013,,VEIP,,O,34.22952,-118.37549
495877,11830,W,SHELDON,ST,91352,4/4/2013,,VEIP,,O,34.24122,-118.39072
495890,4313,S,FLOWER,ST,90037,4/4/2013,,CNAP,,O,34.00513,-118.28171
495892,7237,W,TRANQUIL,DR,91042,4/4/2013,,GENERAL,,O,34.2407,-118.29185
495952,7912,N,VENTURA CANYON,AVE,91402,4/4/2013,,GENERAL,,O,34.21428,-118.42858
496007,566,E,RIALTO,AVE,90291,4/5/2013,,GENERAL,,O,33.98905,-118.46499
496034,9231,N,VANALDEN,AVE,91324,4/8/2013,,GENERAL,,O,34.23816,-118.54932
728996,1150,E,53RD,ST,90011,7/21/2016,,GENERAL,,O,33.99471,-118.25512
728997,16410,W,DEARBORN,ST,91343,7/21/2016,,GENERAL,,O,34.2374,-118.48984
728998,442,N,HARVARD,BLVD,90004,7/21/2016,,GENERAL,,O,34.0788,-118.30446
729053,2115,W,83RD,ST,90047,7/21/2016,,PACE,,O,33.96378,-118.31609
729054,11257,W,NATIONAL,BLVD,90064,7/21/2016,,VEIP,,O,34.02674,-118.4308
495759,1339,N,BRAERIDGE,DR,90210,4/2/2013,,GENERAL,,O,34.09581,-118.42142
495997,2228,N,NELLA VISTA,AVE,90027,4/5/2013,,GENERAL,,O,34.11366,-118.28322
