Case Number,Address House Number,Address House Fraction Number,Address Street Direction,Address Street Name,Address Street Suffix,Address Street Suffix Direction,Address Zip,Date Case Generated,Date Case Closed,GIS Parcel Identification Number (PIN),Case Type,Area Planning Commission (APC),Response Days,Status of Case,lat,long,year
727947,14168,,W,ERWIN,ST,,91401,7/18/2016,,177B153   352,GENERAL,South Valley,,O,34.18353,-118.44212,2016
727949,17545,,W,COHASSET,ST,,91406,7/18/2016,,186B129   475,GENERAL,South Valley,,O,34.20694,-118.51589,2016
727952,18757,,W,LEADWELL,ST,,91335,7/18/2016,,186B121   771,GENERAL,South Valley,,O,34.20395,-118.54257,2016
727954,20608,,W,ACRE,ST,,91306,7/18/2016,,195B109   200,GENERAL,North Valley,,O,34.22976,-118.58222,2016
727955,6958,,N,PENFIELD,AVE,,91306,7/18/2016,,183B113   475,GENERAL,South Valley,,O,34.19723,-118.56866,2016
476712,12526,,W,RUBENS,AVE,,90066,8/17/2012,,108B157  1590,GENERAL,West Los Angeles,,O,33.98864,-118.42407,2012
476757,5025,,W,PICO,BLVD,,90019,8/20/2012,,129B181   955,CITATIONS,Central,,O,34.04798,-118.3467,2012
476759,5208,,W,PICO,BLVD,,90019,8/20/2012,,129B181   974,CITATIONS,Central,,O,34.04802,-118.35198,2012
476767,5155,,W,WASHINGTON,BLVD,,90019,8/20/2012,,126B181   806,CITATIONS,South Los Angeles,,O,34.04134,-118.35246,2012
476824,4235,,N,ENSENADA,DR,,91364,8/21/2012,,165A107   344,GENERAL,South Valley,,O,34.14563,-118.59725,2012
476939,513,,N,ST ANDREWS,PL,,90004,8/21/2012,,141B193  1081,GENERAL,Central,,O,34.08081,-118.31131,2012
476965,1700,,E,43RD,ST,,90058,8/21/2012,,114A213   425,GENERAL,South Los Angeles,,O,34.00482,-118.24286,2012
727957,6141,,N,KENWATER,AVE,,91367,7/18/2016,,177B089   345,GENERAL,South Valley,,O,34.18222,-118.64433,2016
477009,1765,,W,ADAMS,BLVD,,90018,8/22/2012,,123B193   569,GENERAL,South Los Angeles,,O,34.03287,-118.30213,2012
477049,2137,,E,111TH,ST,,90059,8/22/2012,,088-5A217 583,GENERAL,South Los Angeles,,O,33.93438,-118.23356,2012
477050,1770,,E,103RD,PL,,90002,8/22/2012,,090A213    27,GENERAL,South Los Angeles,,O,33.94219,-118.24155,2012
477091,14877,,W,VALLEY VISTA,BLVD,,91403,8/23/2012,,165A149    71,GENERAL,South Valley,,O,34.14738,-118.4585,2012
477130,764,,W,ELBERON,AVE,,90731,8/23/2012,,018B197    74,GENERAL,Harbor,,O,33.74843,-118.29396,2012
477171,5227,,W,VERONICA,ST,,90008,8/24/2012,,117B177   483,GENERAL,South Los Angeles,,O,34.01398,-118.35956,2012
477193,5335,,W,GEER,AVE,,90016,8/24/2012,,123B177  1631,GENERAL,South Los Angeles,,O,34.02949,-118.36066,2012
727958,5770,,N,KELVIN,AVE,,91367,7/18/2016,,174B109   170,GENERAL,South Valley,,O,34.17555,-118.58507,2016
727959,22201,,W,VENTURA,BLVD,,91367,7/18/2016,,174B101   498,GENERAL,South Valley,,O,34.16903,-118.61081,2016
477423,3518,,E,LAVELL,DR,,90065,8/28/2012,,151-5A217 163,GENERAL,East Los Angeles,,O,34.11023,-118.23013,2012
477254,1526,,E,106TH,ST,,90002,8/27/2012,,090A213   578,GENERAL,South Los Angeles,,O,33.93959,-118.24728,2012
477284,3500,,S,HILLCREST,DR,,90016,8/27/2012,,120B181  1024,GENERAL,South Los Angeles,,O,34.02333,-118.34309,2012
477297,6746,,N,YOLANDA,AVE,,91335,8/28/2012,,180B121    51,GENERAL,South Valley,,O,34.19336,-118.54027,2012
477762,9602,,S,CENTRAL,AVE,,90002,8/31/2012,,093A211   140,GENERAL,South Los Angeles,,O,33.94907,-118.25385,2012
477820,4733,,W,OAKWOOD,AVE,,90004,9/4/2012,,138B193   201,GENERAL,Central,,O,34.07741,-118.3104,2012
477875,145,,S,VAN NESS,AVE,,90004,9/5/2012,,138B189  1181,GENERAL,Central,,O,34.07161,-118.31587,2012
477882,459,,N,FLORES,ST,,90048,9/5/2012,,141B173  1179,GENERAL,Central,,O,34.07982,-118.37121,2012
477543,3125,,W,PICO,BLVD,,90019,8/29/2012,,129B193  1276,GENERAL,Central,,O,34.04734,-118.30989,2012
477552,6901,,N,VARIEL,AVE,,91303,8/29/2012,,183B105   843,GENERAL,South Valley,,O,34.19577,-118.59309,2012
477614,14252,,W,FRIAR,ST,,91401,8/30/2012,,177B153    44,GENERAL,South Valley,,O,34.18556,-118.44393,2012
477779,1301,,W,56TH,ST,,90037,8/31/2012,,108B197   897,GENERAL,South Los Angeles,,O,33.99166,-118.29823,2012
478019,5408,,N,TAMPA,AVE,,91356,9/6/2012,,174B117   629,GENERAL,South Valley,,O,34.16928,-118.55331,2012
478194,2470,,N,LINCOLN HIGH,DR,,90031,9/7/2012,,139-5A227 219,GENERAL,East Los Angeles,,O,34.07535,-118.19985,2012
478119,15237,,W,OTSEGO,ST,,91403,9/6/2012,,171A147   121,GENERAL,South Valley,,O,34.16319,-118.46528,2012
478121,12120,,W,HAMMACK,ST,,90230,9/6/2012,,105B161   475,GENERAL,West Los Angeles,,O,33.98522,-118.41061,2012
478143,14302,,W,COLLINS,ST,,91401,9/6/2012,,174B153   561,GENERAL,South Valley,,O,34.17381,-118.44457,2012
478261,18237,,W,SATICOY,ST,,91335,9/10/2012,,186B125   175,CNAP,South Valley,,O,34.20853,-118.53091,2012
478262,735,,E,MANCHESTER,AVE,,90001,9/10/2012,,097-5A207 273,GENERAL,South Los Angeles,,O,33.96031,-118.26176,2012
478351,5125,,W,MELROSE,AVE,,90038,9/11/2012,,141B193   540,GENERAL,Central,,O,34.08366,-118.31196,2012
728033,5152,,W,LA VISTA,CT,,90004,7/18/2016,,141B189   603,GENERAL,Central,,O,34.08202,-118.31539,2016
728037,610,,N,VAN NESS,AVE,,90004,7/18/2016,,141B189   605,GENERAL,Central,,O,34.08196,-118.31559,2016
728039,3911,,N,OAKFIELD,DR,,91423,7/18/2016,,162B149   266,GENERAL,South Valley,,O,34.14167,-118.44725,2016
728064,854,,S,VERMONT,AVE,,90005,7/18/2016,,132B197   669,GENERAL,Central,,O,34.05639,-118.29144,2016
728073,210,,W,88TH,PL,,90003,7/18/2016,,096A203   346,GENERAL,South Los Angeles,,O,33.95636,-118.27644,2016
478372,6864,,W,FOOTHILL,BLVD,,91042,9/11/2012,,202-5A201 622,GENERAL,North Valley,,O,34.24763,-118.28161,2012
728074,629,,E,108TH,ST,,90002,7/18/2016,,090A207   442,GENERAL,South Los Angeles,,O,33.93844,-118.26411,2016
478377,2464,,W,WASHINGTON,BLVD,,90018,9/11/2012,,126B189   934,GENERAL,South Los Angeles,,O,34.03971,-118.31667,2012
478391,310,,E,MILDRED,AVE,,90291,9/11/2012,,106-5A145 127,CNAP,West Los Angeles,,O,33.9867,-118.46897,2012
728079,1000,,S,CARMELINA,AVE,,90049,7/18/2016,,126B141   123,GENERAL,West Los Angeles,,O,34.0441,-118.47284,2016
728092,1858,,W,78TH,PL,,90047,7/18/2016,,099B193   659,GENERAL,South Los Angeles,,O,33.96806,-118.31093,2016
478487,5670,,W,VENICE,BLVD,,90019,9/12/2012,,126B177   479,GENERAL,South Los Angeles,,O,34.04325,-118.36186,2012
478494,12631,,W,RUBENS,AVE,,90066,9/12/2012,,105B157   108,GENERAL,West Los Angeles,,O,33.98728,-118.42547,2012
478547,118,,N,GRAMERCY,PL,,90004,9/13/2012,,138B193   937,GENERAL,Central,,O,34.0737,-118.31232,2012
478586,4021,,W,LEEWARD,AVE,,90005,9/13/2012,,132B189   396,GENERAL,Central,,O,34.05908,-118.31516,2012
478587,7320,,S,ST ANDREWS,PL,,90047,9/13/2012,,102B193  1659,GENERAL,South Los Angeles,,O,33.97317,-118.31103,2012
478591,10198,,W,LA CANADA,WAY,,91040,9/13/2012,,204B181    36,CNAP,North Valley,,O,34.25948,-118.35242,2012
728102,1450,,N,BANNING,BLVD,,90744,7/18/2016,,036B209   434,GENERAL,Harbor,,O,33.79295,-118.25943,2016
728103,24837,,S,SEAGROVE,AVE,,90744,7/18/2016,,039B209   259,GENERAL,Harbor,,O,33.80044,-118.25957,2016
478446,1452,,N,MARTEL,AVE,,90046,9/12/2012,,147B181   714,GENERAL,Central,,O,34.09748,-118.35053,2012
478701,520,,W,94TH,ST,,90044,9/14/2012,,094-5A201 378,GENERAL,South Los Angeles,,O,33.95089,-118.2833,2012
478871,3026,,S,CHESAPEAKE,AVE,,90016,9/17/2012,,120B181   538,GENERAL,South Los Angeles,,O,34.0268,-118.34485,2012
478944,5703,,N,YOLANDA,AVE,,91356,9/18/2012,,174B121   243,GENERAL,South Valley,,O,34.17478,-118.54086,2012
478986,117,,W,87TH,ST,,90003,9/18/2012,,096A203    24,GENERAL,South Los Angeles,,O,33.9587,-118.27464,2012
479248,21000,,W,SATICOY,ST,,91304,9/19/2012,,186B109   254,GENERAL,South Valley,,O,34.20816,-118.59081,2012
479002,1533,,W,SUNSET,BLVD,,90026,9/18/2012,,139-5A209 198,GENERAL,East Los Angeles,,O,34.07639,-118.25601,2012
479233,3651,,S,VAN NESS,AVE,,90018,9/19/2012,,120B189  1453,GENERAL,South Los Angeles,,O,34.02165,-118.31672,2012
728108,801,,N,HANLEY,AVE,,90049,7/19/2016,,138B137   431,GENERAL,West Los Angeles,,O,34.07256,-118.48775,2016
728110,4270,,S,CHASE,AVE,,90066,7/19/2016,,108B157   730,GENERAL,West Los Angeles,,O,33.99247,-118.42933,2016
479295,409,,N,JUNE,ST,,90004,9/20/2012,,141B185  1167,GENERAL,Central,,O,34.07862,-118.33431,2012
728114,16520,,W,JERSEY,ST,,91344,7/19/2016,,207B137   126,GENERAL,North Valley,,O,34.26738,-118.49196,2016
479299,7630,,N,CAPISTRANO,AVE,,91304,9/20/2012,,186B101    82,GENERAL,South Valley,,O,34.20935,-118.6165,2012
479467,8133,,S,ZITOLA,TER,,90293,9/20/2012,,096B153   336,GENERAL,West Los Angeles,,O,33.96066,-118.44426,2012
479498,1544,,W,22ND,ST,,90007,9/20/2012,,123B197   134,GENERAL,South Los Angeles,,O,34.03622,-118.29309,2012
479719,1816,,E,109TH,PL,,90059,9/21/2012,,088-5A215 329,GENERAL,South Los Angeles,,O,33.93611,-118.24011,2012
479263,6431,,W,DIX,ST,,90068,9/19/2012,,150A187   145,GENERAL,Central,,O,34.10591,-118.33008,2012
479792,1328,,N,DEVLIN,DR,,90069,9/24/2012,,144B169    82,GENERAL,Central,,O,34.09439,-118.38573,2012
479795,8556,,W,HILLSIDE,AVE,,90069,9/24/2012,,148-5A175 317,GENERAL,Central,,O,34.10008,-118.37294,2012
479797,2489,,S,LINCOLN,BLVD,,90291,9/24/2012,,108B149   769,GENERAL,West Los Angeles,,O,33.99245,-118.45004,2012
479805,1757,,S,CRESCENT,AVE,,90731,9/24/2012,,012B201   538,GENERAL,Harbor,,O,33.72813,-118.28264,2012
479806,12107,,W,MARINE,ST,,90066,9/24/2012,,117B153   248,GENERAL,West Los Angeles,,O,34.01927,-118.44205,2012
479993,9571,,S,GRANDEE,AVE,,90002,9/26/2012,,093A213   186,GENERAL,South Los Angeles,,O,33.94945,-118.24357,2012
480099,5520,,S,LONG BEACH,AVE,,90058,9/26/2012,,108B213   343,GENERAL,South Los Angeles,,O,33.99224,-118.24309,2012
480116,2310,,S,TOBERMAN,ST,,90007,9/26/2012,,124-5A201 370,GENERAL,South Los Angeles,,O,,,2012
480118,2642,,N,PASADENA,AVE,,90031,9/26/2012,,139-5A221  92,GENERAL,East Los Angeles,,O,34.07766,-118.21515,2012
480126,4078,,S,ALLA,ROAD,,90066,9/26/2012,,108B153   541,GENERAL,West Los Angeles,,O,33.99284,-118.43793,2012
480183,1500,,E,20TH,ST,,90011,9/27/2012,,118-5A213  44,GENERAL,South Los Angeles,,O,34.02028,-118.24661,2012
480196,171,,E,35TH,ST,,90011,9/27/2012,,118-5A205 316,CNAP,South Los Angeles,,O,34.01691,-118.27081,2012
480204,3445,,S,SYCAMORE,AVE,,90016,9/27/2012,,120B177   885,GENERAL,South Los Angeles,,O,34.02405,-118.35725,2012
480215,902,,S,NORTON,AVE,,90019,9/27/2012,,132B189  1009,GENERAL,Central,,O,34.05531,-118.31977,2012
480316,4508,,S,LONG BEACH,AVE,E,90058,9/28/2012,,112-5A213 233,GENERAL,South Los Angeles,,O,34.00252,-118.24291,2012
480438,6412,,S,CRENSHAW,BLVD,,90043,10/1/2012,,105B185  1090,GENERAL,South Los Angeles,,O,33.98147,-118.33064,2012
480527,1910,,W,WASHINGTON,BLVD,,90018,10/1/2012,,126B193   939,GENERAL,South Los Angeles,,O,34.03975,-118.30091,2012
480860,6546,,N,FIRMAMENT,AVE,,91406,10/2/2012,,180B145   426,GENERAL,South Valley,,O,34.19008,-118.47149,2012
480530,2628,,E,PENNSYLVANIA,AVE,,90033,10/1/2012,,127-5A225 282,GENERAL,East Los Angeles,,O,34.04286,-118.20585,2012
481022,13469,,W,RAND,DR,,91423,10/3/2012,,162B157   410,GENERAL,South Valley,,O,34.14164,-118.42596,2012
481081,11541,,W,BARMAN,ST,,90230,10/4/2012,,111B161   769,GENERAL,West Los Angeles,,O,33.99828,-118.41185,2012
481133,1429,,S,ABBOT KINNEY,BLVD,,90291,10/4/2012,,108B145  1359,GENERAL,West Los Angeles,,O,33.9905,-118.465,2012
481002,17531,,W,KINGSBURY,ST,,91344,10/3/2012,,207B129   554,GENERAL,North Valley,,O,34.26382,-118.51647,2012
481141,13908,,W,CALVERT,ST,,91401,10/5/2012,,177B153   598,GENERAL,South Valley,,O,34.18202,-118.43589,2012
481142,13018,,W,VANOWEN,ST,,91606,10/5/2012,,180B161     8,GENERAL,South Valley,,O,34.1938,-118.4166,2012
481154,9604,,S,GRAPE,ST,,90002,10/5/2012,,093A215   251,GENERAL,South Los Angeles,,O,33.94898,-118.23616,2012
481176,8931,,W,VENICE,BLVD,,90034,10/5/2012,,120B169    27,GENERAL,West Los Angeles,,O,34.02873,-118.38994,2012
481282,1901,,S,ALAMEDA,ST,,90058,10/10/2012,,118-5A215  21,GENERAL,South Los Angeles,,O,34.01973,-118.23974,2012
481313,7623,,S,8TH,AVE,,90043,10/11/2012,,099B185   141,GENERAL,South Los Angeles,,O,33.97018,-118.32668,2012
481489,5646,,W,SPOKANE,ST,,90016,10/11/2012,,120B173   242,GENERAL,South Los Angeles,,O,34.02723,-118.37016,2012
481494,11496,,W,LAURELCREST,DR,,91604,10/12/2012,,159B169    63,GENERAL,South Valley,,O,34.13606,-118.38347,2012
481563,10405,,S,CROESUS,AVE,,90002,10/12/2012,,090A217   186,GENERAL,South Los Angeles,,O,33.94127,-118.23389,2012
481575,5005,,S,BROADWAY,,,90037,10/12/2012,,111A203   333,GENERAL,South Los Angeles,,O,33.99715,-118.27853,2012
481246,7347,,N,OAK PARK,AVE,,91406,10/9/2012,,186B133   832,GENERAL,South Valley,,O,34.20423,-118.50518,2012
728143,1727,,S,SANTEE,ST,,90015,7/19/2016,,123A207   145,GENERAL,South Los Angeles,,O,34.03091,-118.26187,2016
481172,3445,,N,ARDSLEY,PL,,91436,10/5/2012,,159B133   216,GENERAL,South Valley,,O,34.1316,-118.50319,2012
481594,5754,,N,WILLOW CREST,AVE,,91601,10/15/2012,,174B177   159,GENERAL,South Valley,,O,34.17553,-118.36251,2012
481596,5541,,N,BILOXI,AVE,,91601,10/15/2012,,174B177   731,GENERAL,South Valley,,O,34.17116,-118.35847,2012
481615,215,,W,6TH,ST,,90013,10/15/2012,,129A211   274,GENERAL,Central,,O,34.04636,-118.25137,2012
481624,2219,,S,ORANGE,DR,,90016,10/15/2012,,123B181    75,GENERAL,South Los Angeles,,O,34.03701,-118.35136,2012
481842,13336,,W,CORCORAN,ST,,91340,10/17/2012,,213B157   124,GENERAL,North Valley,,O,34.28332,-118.4236,2012
481917,9443,,W,SIERRA MAR,PL,,90069,10/17/2012,,147B165   544,CNAP,Central,,O,34.09568,-118.39549,2012
481940,8935,,W,WONDERLAND,AVE,,90046,10/17/2012,,150B169   672,GENERAL,West Los Angeles,,O,34.10834,-118.38866,2012
481944,2273,,W,WARMOUTH,ST,,90732,10/17/2012,,009B185    72,GENERAL,Harbor,,O,33.72063,-118.32782,2012
482147,2453,,S,WALGROVE,AVE,,90291,10/18/2012,,108B149   106,GENERAL,West Los Angeles,,O,33.99575,-118.44547,2012
482159,2728,,S,LA CIENEGA,BLVD,,90034,10/18/2012,,123B173   656,GENERAL,South Los Angeles,,O,34.03342,-118.3755,2012
482199,1832,,S,BARRINGTON,AVE,,90025,10/18/2012,,126B149   960,GENERAL,West Los Angeles,,O,34.03927,-118.45194,2012
482232,10938,,N,ORO VISTA,AVE,,91040,10/19/2012,,207B189    30,GENERAL,North Valley,,O,34.26813,-118.31559,2012
482294,3034,,S,NORTON,AVE,,90018,10/19/2012,,120B185   636,GENERAL,South Los Angeles,,O,34.02653,-118.3326,2012
482308,11919,,W,WILSHIRE,BLVD,,90049,10/19/2012,,129B145   911,GENERAL,West Los Angeles,,O,34.04668,-118.46458,2012
482340,10855,,W,WHITE,ST,,91352,10/22/2012,,189B173   167,GENERAL,North Valley,,O,34.21643,-118.36827,2012
482415,115,,E,80TH,ST,,90003,10/23/2012,,099B205   687,GENERAL,South Los Angeles,,O,33.9671,-118.27332,2012
482352,12807,,W,STANWOOD,DR,,90066,10/22/2012,,114B149    36,GENERAL,West Los Angeles,,O,34.01228,-118.4495,2012
482363,318,,W,LOMITA,BLVD,,90744,10/22/2012,,036B201    15,GENERAL,Harbor,,O,33.7982,-118.28031,2012
482369,7341,,S,RINDGE,AVE,,90293,10/22/2012,,093B149    32,GENERAL,West Los Angeles,,O,33.95399,-118.44605,2012
482396,5120,,S,NORMANDIE,AVE,,90037,10/23/2012,,111B197  1433,GENERAL,South Los Angeles,,O,33.99627,-118.29999,2012
482402,670,,E,45TH,ST,,90011,10/23/2012,,112-5A207 185,GENERAL,South Los Angeles,,O,34.00234,-118.26386,2012
482432,7726,,S,ISIS,AVE,,90045,10/23/2012,,099B173   427,GENERAL,West Los Angeles,,O,33.96663,-118.37635,2012
482631,1503,,W,27TH,ST,,90007,10/25/2012,,123B197  1255,GENERAL,South Los Angeles,,O,34.03058,-118.29467,2012
482527,5107,,W,HAROLD,WAY,,90027,10/24/2012,,148-5A195 238,GENERAL,Central,,O,34.09947,-118.30083,2012
482611,10437,,N,HAYVENHURST,AVE,,91344,10/25/2012,4/18/2016,207B137   902,GENERAL,North Valley,1271,O,34.26021,-118.49374,2012
728260,17512,,W,OSBORNE,ST,,91325,7/19/2016,,195B129   158,GENERAL,North Valley,,O,34.23334,-118.51636,2016
728262,9432,,N,DEMPSEY,AVE,,91343,7/19/2016,,198B141   140,GENERAL,North Valley,,O,34.24192,-118.47727,2016
728264,19060,,W,BRASILIA,DR,,91326,7/19/2016,,216B121   411,GENERAL,North Valley,,O,34.28697,-118.54766,2016
482612,20519,,W,MALDEN,ST,,91306,10/25/2012,,192B109   130,GENERAL,North Valley,,O,34.22538,-118.58053,2012
482646,834,,E,FLORENCE,AVE,,90001,10/25/2012,,102B209   111,GENERAL,South Los Angeles,,O,33.9746,-118.25951,2012
728265,4719,,W,MELROSE,AVE,,90029,7/19/2016,,141B193   574,GENERAL,Central,,O,34.08365,-118.30352,2016
482841,10724,,W,ACAMA,ST,,91602,10/30/2012,,165B177   955,GENERAL,South Valley,,O,34.1458,-118.36405,2012
482890,5529,,N,TAMPA,AVE,,91356,10/31/2012,,174B117   419,GENERAL,South Valley,,O,34.17164,-118.5536,2012
728267,4923,2-Jan,N,TOPANGA CANYON,BLVD,,91364,7/19/2016,,168B101   418,GENERAL,South Valley,,O,34.1576,-118.60616,2016
728268,6721,,N,MORELLA,AVE,,91606,7/19/2016,,180B169   200,GENERAL,South Valley,,O,34.19286,-118.39019,2016
728271,8059,,N,LANKERSHIM,BLVD,,91605,7/19/2016,,189B169    99,GENERAL,North Valley,,O,34.21728,-118.38798,2016
482952,172,,S,CLARENCE,ST,,90033,10/31/2012,,127-5A219  37,GENERAL,East Los Angeles,,O,34.04539,-118.2241,2012
483018,714,,N,FRIES,AVE,,90744,11/1/2012,,030B205   550,GENERAL,Harbor,,O,33.77891,-118.26475,2012
483021,170,,N,MARTEL,AVE,,90036,11/1/2012,,138B181   503,GENERAL,Central,,O,34.07559,-118.35094,2012
483026,1654,,S,WESTMORELAND,BLVD,,90006,11/1/2012,,126B193   386,GENERAL,South Los Angeles,,O,34.04289,-118.30641,2012
728299,7842,,S,HARVARD,BLVD,,90047,7/19/2016,,099B193   699,PACE,South Los Angeles,,O,33.96786,-118.30668,2016
728300,14370,,W,LANARK,ST,,91402,7/19/2016,,189B149   153,GENERAL,North Valley,,O,34.21749,-118.44644,2016
483051,170,,S,CLARENCE,ST,,90033,11/1/2012,,127-5A219  26,GENERAL,East Los Angeles,,O,34.04546,-118.22411,2012
728301,11106,,W,HARTSOOK,ST,,91601,7/19/2016,,171B173   787,CNAP,South Valley,,O,34.16384,-118.37267,2016
728302,7838,,S,HARVARD,BLVD,,90047,7/19/2016,,099B193   682,PACE,South Los Angeles,,O,33.96797,-118.30668,2016
483133,2078,,W,27TH,ST,,90018,11/2/2012,,123B193   910,GENERAL,South Los Angeles,,O,34.03071,-118.31132,2012
483212,2090,,W,27TH,ST,,90018,11/2/2012,,123B193   912,GENERAL,South Los Angeles,,O,34.03065,-118.31165,2012
483213,2096,,W,27TH,ST,,90018,11/2/2012,,123B193   913,GENERAL,South Los Angeles,,O,34.03071,-118.31181,2012
728309,7810,,S,HARVARD,BLVD,,90047,7/19/2016,,099B193   514,PACE,South Los Angeles,,O,33.96874,-118.30668,2016
728312,11116,,W,HARTSOOK,ST,,91601,7/19/2016,,171B173   789,CNAP,South Valley,,O,34.16384,-118.373,2016
728313,5427,,E,ABBOTT,PL,,90042,7/19/2016,,153A227   275,GENERAL,East Los Angeles,,O,34.11263,-118.19814,2016
728315,7440,,N,CLAIRE,AVE,,91335,7/19/2016,,186B121   523,GENERAL,South Valley,,O,34.20595,-118.55011,2016
728316,2271,,W,MOSS,AVE,,90065,7/19/2016,,151-5A217 282,GENERAL,East Los Angeles,,O,34.10899,-118.23015,2016
728317,2535,,S,9TH,AVE,,90018,7/19/2016,,123B185   586,GENERAL,South Los Angeles,,O,34.03339,-118.32737,2016
483024,12039,,W,BRANFORD,ST,,91331,11/1/2012,,204B165   189,CITATIONS,North Valley,,O,34.25433,-118.39516,2012
483241,333,,N,MARINE,AVE,,90744,11/5/2012,,030B205  1348,GENERAL,Harbor,,O,33.77374,-118.26343,2012
483257,3219,,S,WALKER,AVE,,90731,11/5/2012,,009B193   758,GENERAL,Harbor,,O,33.71814,-118.30375,2012
483249,3596,,E,TACOMA,AVE,,90065,11/5/2012,,147A219    63,GENERAL,East Los Angeles,,O,34.09834,-118.22535,2012
728319,518,,S,VAN NESS,AVE,,90020,7/19/2016,,135B189   693,GENERAL,Central,,O,34.06468,-118.31539,2016
728321,5239,,W,MELROSE,AVE,,90038,7/19/2016,,141B189   330,GENERAL,Central,,O,34.08365,-118.31501,2016
728322,6142,,E,OUTLOOK,AVE,,90042,7/19/2016,,154-5A229 393,GENERAL,East Los Angeles,,O,34.11581,-118.18845,2016
728324,1815,,W,82ND,ST,,90047,7/19/2016,,099B193  1282,PACE,South Los Angeles,,O,33.96468,-118.30963,2016
728325,2015,,W,82ND,ST,,90047,7/19/2016,,099B189   718,PACE,South Los Angeles,,O,33.96469,-118.31392,2016
728326,2059,,W,82ND,ST,,90047,7/19/2016,,099B189   708,PACE,South Los Angeles,,O,33.96469,-118.31533,2016
728327,2103,,W,82ND,ST,,90047,7/19/2016,,099B189   707,PACE,South Los Angeles,,O,33.96469,-118.31578,2016
728377,10953,,W,TUXFORD,ST,,91352,7/19/2016,,198B173    98,GENERAL,North Valley,,O,34.23598,-118.36961,2016
728378,1021,,W,FLORENCE,AVE,,90044,7/19/2016,,102B197  1114,GENERAL,South Los Angeles,,O,33.97478,-118.2926,2016
728437,8109,,S,MARIPOSA,AVE,,90044,7/19/2016,,099B197  1062,PACE,South Los Angeles,,O,33.96515,-118.2994,2016
728475,1519,,S,CABRILLO,AVE,,90291,7/19/2016,,108B145  1553,GENERAL,West Los Angeles,,O,33.98977,-118.46497,2016
728476,2660,,N,CORDELIA,ROAD,,90049,7/19/2016,,141B133    33,GENERAL,West Los Angeles,,O,34.08481,-118.5078,2016
483285,2522,,S,LONGWOOD,AVE,,90016,11/6/2012,,123B181   894,GENERAL,South Los Angeles,,O,34.03314,-118.34907,2012
483291,4649,,S,CRENSHAW,BLVD,,90043,11/6/2012,,111B185   305,CNAP,South Los Angeles,,O,34.00089,-118.33111,2012
483311,3001,,S,DELL,AVE,,90291,11/6/2012,,105A147   177,GENERAL,West Los Angeles,,O,33.98147,-118.46402,2012
483420,7634,,N,DEERING,AVE,,91304,11/7/2012,,186B105    84,CITATIONS,South Valley,,O,34.20945,-118.59654,2012
483425,649,,E,37TH,ST,,90011,11/7/2012,,117A207   360,GENERAL,South Los Angeles,,O,34.01289,-118.26345,2012
483477,341,,E,120TH,ST,,90061,11/7/2012,,084B205  1148,GENERAL,South Los Angeles,,O,33.92386,-118.26804,2012
483482,15128,,W,MARTHA,ST,,91411,11/8/2012,,174B145   432,GENERAL,South Valley,,O,34.17287,-118.46284,2012
483484,1969,,W,48TH,ST,,90062,11/8/2012,,111B189   892,GENERAL,South Los Angeles,,O,34.00021,-118.31561,2012
483497,3169,,N,BARBARA,CT,,90068,11/8/2012,,157-5A181  11,GENERAL,South Valley,,O,34.12778,-118.34725,2012
483668,2602,,S,ORANGE,DR,,90016,11/8/2012,,123B177   999,CNAP,South Los Angeles,,O,34.03224,-118.3533,2012
483968,548,,E,REDFIELD,AVE,,90042,11/10/2012,,148-5A231 165,GENERAL,East Los Angeles,,O,34.10164,-118.18489,2012
484183,6552,,N,WOODMAN,AVE,,91401,11/13/2012,,180B157   547,CNAP,South Valley,,O,,,2012
484188,1215,,E,PACIFIC COAST,HWY,,90744,11/13/2012,,036B209   629,GENERAL,Harbor,,O,33.79111,-118.24826,2012
484192,1242,,W,69TH,ST,,90044,11/13/2012,11/14/2014,102B197   708,GENERAL,South Los Angeles,731,O,33.97691,-118.29731,2012
484194,1785,,E,VERNON,AVE,,90058,11/13/2012,,112-5A213  17,GENERAL,South Los Angeles,,O,34.00402,-118.24151,2012
484195,11011,,W,OTSEGO,ST,,91601,11/13/2012,,171B173   834,GENERAL,South Valley,,O,34.16308,-118.37094,2012
483720,5282,,N,TOWNSEND,AVE,,90041,11/8/2012,,163-5A227  58,GENERAL,East Los Angeles,,O,34.14384,-118.2011,2012
483966,6216,,E,ALDAMA,ST,,90042,11/10/2012,,154-5A229 120,GENERAL,East Los Angeles,,O,34.11869,-118.18897,2012
483969,4318,,E,BEAGLE,ST,,90032,11/10/2012,,141A229   409,GENERAL,East Los Angeles,,O,34.07922,-118.19166,2012
483970,5427,,E,TEMPLETON,ST,,90032,11/10/2012,,142-5A237  40,GENERAL,East Los Angeles,,O,34.08592,-118.16459,2012
484342,938,,N,BEAUDRY,AVE,,90012,11/14/2012,,136-5A213  85,GENERAL,Central,,O,34.06825,-118.24616,2012
484641,5847,,E,ARROYO,DR,,90042,11/15/2012,,150A229    65,GENERAL,East Los Angeles,,O,34.10636,-118.18822,2012
485211,232,,E,MANCHESTER,AVE,,90003,11/26/2012,,097-5A205 351,GENERAL,South Los Angeles,,O,33.95989,-118.27048,2012
485564,9950,,N,TOPANGA CANYON,BLVD,,91311,11/28/2012,,201B101    16,GENERAL,North Valley,,O,34.25145,-118.6058,2012
