Case Number,Address House Number,Address House Fraction Number,Address Street Direction,Address Street Name,Address Street Suffix,Address Street Suffix Direction,Address Zip,Date Case Generated,Date Case Closed,GIS Parcel Identification Number (PIN),Case Type,Area Planning Commission (APC),Response Days,Status of Case,lat,long,year
404002,4545,,N,SAN BLAS,AVE,,91364,1/10/2011,,166-5A105 147,GENERAL,South Valley,,O,34.15107,-118.59912,2011
404180,2706,,E,CESAR E CHAVEZ,AVE,,90033,1/12/2011,,127-5A225  74,GENERAL,East Los Angeles,,O,34.04493,-118.20391,2011
404181,5115,,E,CAVANAGH,ROAD,,90032,1/12/2011,,136-5A235 119,GENERAL,East Los Angeles,,O,34.06924,-118.17266,2011
635491,677,,E,52ND,PL,,90011,7/10/2014,,108B205   159,GENERAL,South Los Angeles,,O,33.99509,-118.26341,2014
637009,1636,,S,OXFORD,AVE,,90006,7/11/2014,,126B193   332,GENERAL,South Los Angeles,,O,34.04331,-118.30752,2014
660009,7754,,N,PASO ROBLES,AVE,,91406,10/2/2014,,189B133   789,GENERAL,South Valley,,O,34.21181,-118.5022,2014
660012,13607,,W,SATICOY,ST,,91402,10/2/2014,,186B157   102,GENERAL,North Valley,,O,34.20959,-118.42913,2014
660016,210,,W,SLAUSON,AVE,,90003,10/2/2014,,108B201  1360,GENERAL,South Los Angeles,,O,33.98905,-118.27668,2014
404477,14318,,W,CALVERT,ST,,91401,1/20/2011,,177B153   662,GENERAL,South Valley,,O,34.18156,-118.44496,2011
670032,11931,,N,EDDLESTON,DR,,91326,12/30/2014,,216B125   113,GENERAL,North Valley,,O,34.28963,-118.53611,2014
670054,7938,,N,CASABA,AVE,,91306,12/30/2014,,189B113   596,GENERAL,South Valley,,O,34.21496,-118.57667,2014
672102,6426,,N,NEWCASTLE,AVE,,91335,1/28/2015,,180B125   608,GENERAL,South Valley,,O,34.18753,-118.52525,2015
404351,1449,,E,25TH,ST,,90011,1/19/2011,,118-5A211 442,GENERAL,South Los Angeles,,O,34.01674,-118.24793,2011
404456,952,,N,DEXTER,ST,,90042,1/19/2011,,153A223    27,GENERAL,East Los Angeles,,O,34.1155,-118.20846,2011
404598,5105,,S,MCKINLEY,AVE,,90011,1/20/2011,,111A207   302,GENERAL,South Los Angeles,,O,33.99639,-118.26098,2011
672351,17068,,W,DEVONSHIRE,ST,,91325,1/29/2015,,204B133   211,GENERAL,North Valley,,O,34.25734,-118.50455,2015
673217,3130,,W,OLYMPIC,BLVD,,90006,2/6/2015,,129B193   325,GENERAL,Central,,O,34.05241,-118.30391,2015
677751,2151,,W,VENICE,BLVD,,90006,4/8/2015,,126B193   280,GENERAL,South Los Angeles,,O,34.04374,-118.30429,2015
680334,4634,,W,17TH,ST,,90019,5/6/2015,,126B185   266,GENERAL,South Los Angeles,,O,34.0442,-118.33924,2015
680948,1614,,S,WELLINGTON,ROAD,,90019,5/11/2015,,126B185   152,GENERAL,South Los Angeles,,O,34.04481,-118.33085,2015
404210,4610,,E,TWINING,ST,,90032,1/13/2011,,142-5A231 249,GENERAL,East Los Angeles,,O,34.08398,-118.1842,2011
404315,4312,,E,BEAGLE,ST,,90032,1/18/2011,,141A229   424,GENERAL,East Los Angeles,,O,34.07904,-118.19181,2011
404655,1947,,S,MANNING,AVE,,90025,1/25/2011,,129B157   594,CNAP,West Los Angeles,,O,34.0502,-118.42926,2011
405145,14719,2-Jan,W,OXNARD,ST,,91411,1/31/2011,,177A149    93,GENERAL,South Valley,,O,34.17954,-118.45372,2011
404661,8400,,N,AURA,AVE,,91324,1/25/2011,,192B117   506,CNAP,North Valley,,O,34.22267,-118.55452,2011
680955,1642,,S,STANLEY,AVE,,90019,5/11/2015,,126B177    49,GENERAL,Central,,O,34.04543,-118.36289,2015
685467,913,,E,54TH,ST,,90011,6/5/2015,,108B209   529,GENERAL,South Los Angeles,,O,33.99354,-118.25955,2015
685468,1020,,W,54TH,ST,,90037,6/5/2015,,108B197   640,GENERAL,South Los Angeles,,O,33.9931,-118.29234,2015
685469,111,,E,69TH,ST,,90003,6/5/2015,,102B205   378,GENERAL,South Los Angeles,,O,33.97708,-118.27342,2015
